lead_id,customer_id,created_date,lead_source,industry,company_size,engagement_score,region,mql_flag,sql_flag,converted,lead_status
1,15064,2023-03-24,Organic Search,Healthcare,SMB,24,North America,True,True,True,Converted
2,17486,2025-09-10,Organic Search,Healthcare,Enterprise,9,North America,False,False,False,Open
3,13769,2023-03-20,Google Ads,Manufacturing,Enterprise,88,APAC,False,False,False,Open
4,14881,2024-01-16,Referral,Manufacturing,Mid-Market,95,Europe,False,False,False,Open
5,18982,2025-02-06,Referral,Retail,Mid-Market,18,APAC,False,False,False,Open
6,17729,2024-11-30,Organic Search,Healthcare,Enterprise,63,APAC,True,True,True,Converted
7,10198,2024-12-21,Organic Search,Retail,Enterprise,65,Europe,True,True,False,SQL
8,15012,2025-05-15,Google Ads,Retail,SMB,36,LATAM,False,False,False,Open
9,15530,2026-12-10,Organic Search,Technology,Mid-Market,22,North America,True,True,False,SQL
10,17792,2023-10-07,Email Campaign,Finance,Mid-Market,38,Europe,False,False,False,Open
11,11471,2022-03-27,Google Ads,Finance,SMB,85,Europe,True,True,False,SQL
12,14326,2025-01-26,Organic Search,Retail,SMB,81,North America,True,True,False,SQL
13,18318,2022-02-20,Referral,Technology,SMB,43,LATAM,False,False,False,Open
14,17955,2026-10-03,Email Campaign,Finance,SMB,35,APAC,False,False,False,Open
15,13144,2023-04-08,LinkedIn Ads,Healthcare,Mid-Market,56,APAC,True,True,False,SQL
16,10824,2025-02-06,Google Ads,Manufacturing,SMB,49,North America,False,False,False,Open
17,10732,2024-01-23,LinkedIn Ads,Finance,SMB,98,Europe,False,False,False,Open
18,18028,2025-05-06,Google Ads,Technology,Enterprise,85,LATAM,False,False,False,Open
19,12987,2026-01-18,Organic Search,Technology,SMB,69,North America,False,False,False,Open
20,13028,2023-12-11,Google Ads,Technology,Enterprise,80,APAC,False,False,False,Open
21,19587,2022-09-26,Google Ads,Retail,SMB,88,North America,False,False,False,Open
22,11528,2026-11-22,Google Ads,Finance,Mid-Market,13,APAC,True,True,False,SQL
23,10307,2023-03-19,Organic Search,Manufacturing,SMB,86,LATAM,True,True,False,SQL
24,18346,2024-07-30,Referral,Healthcare,Enterprise,61,North America,True,True,False,SQL
25,17984,2023-07-03,Google Ads,Manufacturing,Enterprise,55,LATAM,True,True,False,SQL
26,17328,2023-04-29,Organic Search,Retail,Mid-Market,43,APAC,True,False,False,MQL
27,14246,2024-08-15,Organic Search,Healthcare,SMB,2,Europe,True,False,False,MQL
28,14659,2026-09-23,LinkedIn Ads,Finance,Mid-Market,32,APAC,False,False,False,Open
29,19742,2023-05-26,Referral,Finance,SMB,13,APAC,True,True,False,SQL
30,10001,2022-07-21,Referral,Technology,Mid-Market,94,Europe,True,True,False,SQL
31,10875,2025-11-12,Organic Search,Healthcare,SMB,69,Europe,False,False,False,Open
32,15291,2023-05-01,LinkedIn Ads,Healthcare,Enterprise,77,APAC,False,False,False,Open
33,18215,2025-01-20,Email Campaign,Manufacturing,Mid-Market,28,APAC,False,False,False,Open
34,16026,2025-08-15,Organic Search,Retail,Mid-Market,45,North America,False,False,False,Open
35,11469,2026-10-17,Organic Search,Technology,SMB,81,North America,False,False,False,Open
36,12724,2026-07-11,Referral,Retail,Enterprise,83,APAC,True,True,False,SQL
37,12336,2026-11-18,Organic Search,Retail,Enterprise,90,Europe,False,False,False,Open
38,10723,2022-02-10,LinkedIn Ads,Technology,Enterprise,5,LATAM,False,False,False,Open
39,14343,2025-04-07,Google Ads,Retail,SMB,51,APAC,False,False,False,Open
40,14526,2023-04-11,LinkedIn Ads,Retail,SMB,8,APAC,False,False,False,Open
41,17313,2023-08-23,Google Ads,Technology,Mid-Market,66,North America,False,False,False,Open
42,19585,2025-12-09,LinkedIn Ads,Technology,Enterprise,37,APAC,False,False,False,Open
43,10820,2022-09-16,Webinar,Finance,Mid-Market,20,Europe,False,False,False,Open
44,13506,2023-10-23,LinkedIn Ads,Retail,Enterprise,64,Europe,True,False,False,MQL
45,14906,2024-02-28,Google Ads,Retail,Mid-Market,23,Europe,True,False,False,MQL
46,13186,2026-03-06,Google Ads,Healthcare,Enterprise,89,North America,True,True,False,SQL
