opportunity_id,customer_id,sales_rep_id,product_id,opportunity_created_date,close_date,stage,expected_revenue,actual_revenue,sales_cycle_days,won
1,17271,289,7,2022-11-11,2023-02-15,Qualification,4560.0,0.0,96,False
2,10861,251,8,2023-04-17,2023-07-14,Closed Won,4140.0,4140.0,88,True
3,15391,269,9,2025-01-01,2025-04-20,Discovery,346800.0,0.0,109,False
4,15192,214,7,2022-06-06,2022-09-02,Discovery,9720.0,0.0,88,False
5,15735,266,9,2022-11-26,2023-03-06,Closed Won,95220.0,95220.0,100,True
6,16266,282,9,2022-03-27,2022-07-03,Closed Lost,130410.0,0.0,98,False
7,10467,293,7,2025-12-23,2026-03-26,Closed Lost,9720.0,0.0,93,False
8,14427,253,9,2024-06-26,2024-09-10,Proposal,330480.0,0.0,76,False
9,15579,284,7,2023-09-22,2023-12-30,Discovery,49680.0,0.0,99,False
10,18323,264,9,2025-07-11,2025-10-23,Closed Lost,81600.0,0.0,104,False
11,11686,272,8,2024-08-13,2024-10-23,Negotiation,20700.0,0.0,71,False
12,10769,249,9,2024-08-20,2024-10-18,Closed Won,16200.0,16200.0,59,True
13,16950,290,9,2026-12-23,2027-04-18,Negotiation,209760.0,0.0,116,False
14,12434,262,7,2026-12-17,2027-03-13,Negotiation,35880.0,0.0,86,False
15,15312,237,8,2023-02-19,2023-06-02,Qualification,23598.0,0.0,103,False
16,15052,249,9,2025-12-20,2026-03-19,Closed Lost,226800.0,0.0,89,False
17,16421,268,9,2022-02-19,2022-05-15,Closed Won,32400.0,32400.0,85,True
18,11185,233,8,2025-03-29,2025-07-06,Proposal,35190.0,0.0,99,False
19,14556,222,8,2026-07-28,2026-11-27,Closed Lost,36720.0,0.0,122,False
20,13386,270,8,2026-03-02,2026-05-22,Closed Lost,14580.0,0.0,81,False
21,16397,233,8,2023-05-14,2023-08-25,Closed Won,98532.0,98532.0,103,True
22,18667,228,8,2022-06-09,2022-08-24,Closed Won,87480.0,87480.0,76,True
23,19275,288,9,2024-11-21,2025-03-01,Discovery,149040.0,0.0,100,False
24,12558,204,8,2025-12-21,2026-04-05,Discovery,83232.0,0.0,105,False
25,17850,266,8,2022-10-15,2023-02-13,Proposal,190440.0,0.0,121,False
26,12048,277,9,2026-07-23,2026-10-18,Closed Won,223560.0,223560.0,87,True
27,12748,249,7,2022-04-15,2022-07-13,Proposal,4860.0,0.0,89,False
28,19168,211,9,2026-03-27,2026-06-19,Proposal,252720.0,0.0,84,False
29,19999,235,7,2022-01-12,2022-05-15,Qualification,12240.0,0.0,123,False
30,10190,239,8,2026-04-06,2026-07-20,Discovery,12240.0,0.0,105,False
31,12735,210,7,2025-07-24,2025-10-25,Negotiation,5520.0,0.0,93,False
32,13006,274,9,2023-10-12,2024-01-16,Closed Won,228000.0,228000.0,96,True
33,14659,272,7,2025-03-06,2025-05-06,Closed Won,11040.0,11040.0,61,True
34,11900,269,7,2023-01-31,2023-05-12,Qualification,6069.0,0.0,101,False
35,17735,223,7,2026-12-29,2027-03-19,Proposal,12393.0,0.0,80,False
36,11268,234,8,2023-12-26,2024-02-26,Qualification,26676.0,0.0,62,False
37,11529,232,9,2026-04-03,2026-06-30,Closed Lost,110400.0,0.0,88,False
